dates,values,% full,status,Max Storage,country
28/08/2022, 63 , 66 , C , 96 ,AT
28/08/2022, 8 , 88 , C , 9 ,BE
28/08/2022, 4 , 61 , C , 6 ,BG
28/08/2022, 4 , 75 , C , 5 ,HR
28/08/2022, 36 , 82 , E , 44 ,CZ
28/08/2022, 9 , 95 , C , 9 ,DK
28/08/2022, 120 , 91 , C , 132 ,FR
28/08/2022, 204 , 83 , E , 245 ,DE
28/08/2022, 43 , 63 , C , 68 ,HU
28/08/2022, 158 , 82 , C , 193 ,IT
28/08/2022, 12 , 55 , C , 22 ,LV
28/08/2022, 107 , 77 , C , 139 ,NL
28/08/2022, 36 , 100 , C , 36 ,PL
28/08/2022, 4 , 100 , C , 4 ,PT
28/08/2022, 24 , 72 , C , 33 ,RO
28/08/2022, 28 , 79 , E , 36 ,SK
28/08/2022, 30 , 84 , C , 35 ,ES
28/08/2022, 0 , 91 , C , 0 ,SE
28/08/2022, 88 , 27 , C , 325 ,UA
28/08/2022, 888 , 80 , E ," 1,110 ",eu
27/08/2022,62.2715,65.17,C,95.5473,AT
27/08/2022,7.6515,87.94,C,8.701,BE
27/08/2022,3.4954,60.24,C,5.8025,BG
27/08/2022,3.5581,74.55,C,4.7725,HR
27/08/2022,35.8089,81.8,C,43.7739,CZ
27/08/2022,8.7165,94.44,C,9.23,DK
27/08/2022,119.9495,91.14,C,131.6078,FR
27/08/2022,202.4663,82.74,C,244.7088,DE
27/08/2022,42.263,62.42,C,67.7027,HU
27/08/2022,157.2899,81.31,C,193.4434,IT
27/08/2022,11.9843,54.97,C,21.8,LV
27/08/2022,105.9868,76.25,C,138.9911,NL
27/08/2022,36.2512,99.56,C,36.4103,PL
27/08/2022,3.8536,100,C,3.57,PT
27/08/2022,23.5252,71.74,C,32.7936,RO
27/08/2022,28.2636,78.41,C,36.0476,SK
27/08/2022,29.5983,83.97,C,35.2503,ES
27/08/2022,0.0919,90.8,C,0.1012,SE
27/08/2022,87.4318,26.92,C,324.7319,UA
27/08/2022,883.0257,79.53,C,1110.2541,eu
26/08/2022,61.8034,64.68,C,95.5473,AT
26/08/2022,7.632,87.71,C,8.701,BE
26/08/2022,3.4793,59.96,C,5.8025,BG
26/08/2022,3.5184,73.72,C,4.7725,HR
26/08/2022,35.7399,81.65,C,43.7739,CZ
26/08/2022,8.6546,93.77,C,9.23,DK
26/08/2022,119.5086,90.81,C,131.6078,FR
26/08/2022,201.1559,82.2,C,244.7088,DE
26/08/2022,42.0038,62.04,C,67.7027,HU
26/08/2022,156.754,81.03,C,193.4434,IT
26/08/2022,11.9859,54.98,C,21.8,LV
26/08/2022,105.413,75.84,C,138.9911,NL
26/08/2022,36.2571,99.58,C,36.4103,PL
26/08/2022,3.8536,100,C,3.57,PT
26/08/2022,23.35,71.2,C,32.7936,RO
26/08/2022,28.0607,77.84,C,36.0476,SK
26/08/2022,29.5153,83.73,C,35.2503,ES
26/08/2022,0.0919,90.8,C,0.1012,SE
26/08/2022,86.9889,26.79,C,324.6462,UA
26/08/2022,878.7774,79.15,C,1110.2541,eu
25/08/2022,61.4074,64.27,C,95.5473,AT
25/08/2022,7.5755,87.06,C,8.701,BE
25/08/2022,3.4631,59.68,C,5.8025,BG
25/08/2022,3.4799,72.92,C,4.7725,HR
25/08/2022,35.7635,81.7,C,43.7739,CZ
25/08/2022,8.6515,93.73,C,9.23,DK
25/08/2022,119.2108,90.58,C,131.6078,FR
25/08/2022,200.127,81.78,C,244.7088,DE
25/08/2022,41.7446,61.66,C,67.7027,HU
25/08/2022,156.2456,80.77,C,193.4434,IT
25/08/2022,12.0137,55.11,C,21.8,LV
25/08/2022,104.7907,75.39,C,138.9911,NL
25/08/2022,36.2675,99.61,C,36.4103,PL
25/08/2022,3.8536,100,C,3.57,PT
25/08/2022,23.1868,70.71,C,32.7936,RO
25/08/2022,27.9569,77.56,C,36.0476,SK
25/08/2022,29.4303,83.49,C,35.2503,ES
25/08/2022,0.0919,90.8,C,0.1012,SE
25/08/2022,86.5662,26.67,C,324.6281,UA
25/08/2022,875.2601,78.83,C,1110.2541,eu
24/08/2022,60.9638,63.8,C,95.5473,AT
24/08/2022,7.5097,86.31,C,8.701,BE
24/08/2022,3.4467,59.4,C,5.8025,BG
24/08/2022,3.4408,72.1,C,4.7725,HR
24/08/2022,35.7318,81.63,C,43.7739,CZ
24/08/2022,8.6761,94,C,9.23,DK
24/08/2022,118.8916,90.34,C,131.6078,FR
24/08/2022,198.9066,81.28,C,244.7088,DE
24/08/2022,41.4943,61.29,C,67.7027,HU
24/08/2022,155.6742,80.48,C,193.4434,IT
24/08/2022,12.0347,55.21,C,21.8,LV
24/08/2022,104.3112,75.05,C,138.9911,NL
24/08/2022,36.2561,99.58,C,36.4103,PL
24/08/2022,3.8536,100,C,3.57,PT
24/08/2022,23.0488,70.28,C,32.7936,RO
24/08/2022,27.8057,77.14,C,36.0476,SK
24/08/2022,29.3581,83.28,C,35.2503,ES
24/08/2022,0.0919,90.8,C,0.1012,SE
24/08/2022,86.1451,26.54,C,324.5423,UA
24/08/2022,871.4957,78.5,C,1110.2541,eu
23/08/2022,60.5794,63.4,C,95.5473,AT
23/08/2022,7.4445,85.56,C,8.701,BE
23/08/2022,3.4293,59.1,C,5.8025,BG
23/08/2022,3.4008,71.26,C,4.7725,HR
23/08/2022,35.7055,81.57,C,43.7739,CZ
23/08/2022,8.6537,93.76,C,9.23,DK
23/08/2022,118.5196,90.06,C,131.6078,FR
23/08/2022,197.9083,81.08,C,244.1012,DE
23/08/2022,41.5454,61.36,C,67.7027,HU
23/08/2022,154.9716,80.11,C,193.4434,IT
23/08/2022,12.0604,55.32,C,21.8,LV
23/08/2022,103.7786,74.67,C,138.9911,NL
23/08/2022,36.2498,99.56,C,36.4103,PL
23/08/2022,3.8536,100,C,3.57,PT
23/08/2022,22.9065,69.85,C,32.7936,RO
23/08/2022,27.6872,76.81,C,36.0476,SK
23/08/2022,29.2919,83.1,C,35.2503,ES
23/08/2022,0.0919,90.8,C,0.1012,SE
23/08/2022,85.7523,26.43,C,324.4401,UA
23/08/2022,868.0779,78.23,C,1109.6465,eu
22/08/2022,60.191,63,C,95.5473,AT
22/08/2022,7.3887,84.92,C,8.701,BE
22/08/2022,3.4002,58.6,C,5.8025,BG
22/08/2022,3.3637,70.48,C,4.7725,HR
22/08/2022,35.6943,81.54,C,43.7739,CZ
22/08/2022,8.635,93.55,C,9.23,DK
22/08/2022,118.2022,89.81,C,131.6078,FR
22/08/2022,196.8251,80.65,C,244.0501,DE
22/08/2022,41.3095,61.02,C,67.7027,HU
22/08/2022,154.6057,79.92,C,193.4434,IT
22/08/2022,12.0604,55.32,C,21.8,LV
22/08/2022,103.1452,74.21,C,138.9911,NL
22/08/2022,36.2542,99.57,C,36.4103,PL
22/08/2022,3.8536,100,C,3.57,PT
22/08/2022,22.767,69.43,C,32.7936,RO
22/08/2022,27.569,76.48,C,36.0476,SK
22/08/2022,29.209,82.86,C,35.2503,ES
22/08/2022,0.0919,90.8,C,0.1012,SE
22/08/2022,85.4687,26.34,C,324.541,UA
22/08/2022,864.5658,77.92,C,1109.5954,eu
21/08/2022,59.7487,62.53,C,95.5473,AT
21/08/2022,7.326,84.2,C,8.701,BE
21/08/2022,3.3675,58.04,C,5.8025,BG
21/08/2022,3.3236,69.64,C,4.7725,HR
21/08/2022,35.6706,81.49,C,43.7739,CZ
21/08/2022,8.6243,93.44,C,9.23,DK
21/08/2022,117.8062,89.51,C,131.6078,FR
21/08/2022,195.5818,80.14,C,244.0496,DE
21/08/2022,41.0499,60.63,C,67.7027,HU
21/08/2022,154.2081,79.72,C,193.4434,IT
21/08/2022,12.0604,55.32,C,21.8,LV
21/08/2022,102.8782,74.02,C,138.9911,NL
21/08/2022,36.215,99.46,C,36.4103,PL
21/08/2022,3.8536,100,C,3.57,PT
21/08/2022,22.631,69.01,C,32.7936,RO
21/08/2022,27.4081,76.03,C,36.0476,SK
21/08/2022,29.125,82.62,C,35.2503,ES
21/08/2022,0.0919,90.8,C,0.1012,SE
21/08/2022,85.1787,26.24,C,324.6378,UA
21/08/2022,860.97,77.59,C,1109.5949,eu
20/08/2022,59.205,61.96,C,95.5473,AT
20/08/2022,7.2607,83.45,C,8.701,BE
20/08/2022,3.3362,57.5,C,5.8025,BG
20/08/2022,3.2883,68.9,C,4.7725,HR
20/08/2022,35.608,81.35,C,43.7739,CZ
20/08/2022,8.6001,93.18,C,9.23,DK
20/08/2022,117.0875,88.97,C,131.6078,FR
20/08/2022,194.1284,79.54,C,244.0496,DE
20/08/2022,40.7611,60.21,C,67.7027,HU
20/08/2022,153.5742,79.39,C,193.4434,IT
20/08/2022,12.0604,55.32,C,21.8,LV
20/08/2022,102.4189,73.69,C,138.9911,NL
20/08/2022,36.1752,99.35,C,36.4103,PL
20/08/2022,3.8536,100,C,3.57,PT
20/08/2022,22.4749,68.53,C,32.7936,RO
20/08/2022,27.2351,75.55,C,36.0476,SK
20/08/2022,29.045,82.4,C,35.2503,ES
20/08/2022,0.0919,90.8,C,0.1012,SE
20/08/2022,84.7733,26.11,C,324.6314,UA
20/08/2022,856.2046,77.16,C,1109.5949,eu
19/08/2022,58.6574,61.39,C,95.5473,AT
19/08/2022,7.1954,82.7,C,8.701,BE
19/08/2022,3.3112,57.07,C,5.8025,BG
19/08/2022,3.2512,68.12,C,4.7725,HR
19/08/2022,35.5427,81.2,C,43.7739,CZ
19/08/2022,8.5792,92.95,C,9.23,DK
19/08/2022,116.3374,88.4,C,131.6078,FR
19/08/2022,192.6066,78.92,C,244.0496,DE
19/08/2022,40.4774,59.79,C,67.7027,HU
19/08/2022,152.9926,79.09,C,193.4434,IT
19/08/2022,12.0604,55.32,C,21.8,LV
19/08/2022,101.8943,73.31,C,138.9911,NL
19/08/2022,36.1357,99.25,C,36.4103,PL
19/08/2022,3.8536,100,C,3.57,PT
19/08/2022,22.3338,68.1,C,32.7936,RO
19/08/2022,27.0613,75.07,C,36.0476,SK
19/08/2022,28.9635,82.17,C,35.2503,ES
19/08/2022,0.0919,90.8,C,0.1012,SE
19/08/2022,84.403,25.99,C,324.6914,UA
19/08/2022,851.3456,76.73,C,1109.5949,eu
18/08/2022,58.3016,61.02,C,95.5473,AT
18/08/2022,7.1347,82,C,8.701,BE
18/08/2022,3.2864,56.64,C,5.8025,BG
18/08/2022,3.2136,67.34,C,4.7725,HR
18/08/2022,35.5095,81.12,C,43.7739,CZ
18/08/2022,8.5672,92.82,C,9.23,DK
18/08/2022,115.7129,87.92,C,131.6078,FR
18/08/2022,191.4818,78.46,C,244.0496,DE
18/08/2022,40.2123,59.4,C,67.7027,HU
18/08/2022,152.3213,78.74,C,193.4434,IT
18/08/2022,12.0668,55.35,C,21.8,LV
18/08/2022,101.3388,72.91,C,138.9911,NL
18/08/2022,36.0941,99.13,C,36.4103,PL
18/08/2022,3.8483,100,C,3.57,PT
18/08/2022,22.2185,67.75,C,32.7936,RO
18/08/2022,26.8955,74.61,C,36.0476,SK
18/08/2022,28.8785,81.92,C,35.2503,ES
18/08/2022,0.0919,90.8,C,0.1012,SE
18/08/2022,83.986,25.85,C,324.8777,UA
18/08/2022,847.1737,76.35,C,1109.5949,eu
17/08/2022,57.9813,60.68,C,95.5473,AT
17/08/2022,7.0686,81.24,C,8.701,BE
