,week,EU_min,EU_max,EU_2020,EU_2021,EU_2022,Russia_min,Russia_max,Russia_avg,Russia_2020,Russia_2021,Russia_2022,Norway_min,Norway_max,Norway_avg,Norway_2020,Norway_2021,Norway_2022,Algeria_min,Algeria_max,Algeria_avg,Algeria_2020,Algeria_2021,Algeria_2022,LNG_min,LNG_max,LNG_avg,LNG_2020,LNG_2021,LNG_2022
0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,7522.3,9139.7,8396.1,7938.7,8573.3,2636.1,3816.7,3328.0,2636.1,3059.9,1745.7,2573.4,3111.2,2898.5,2573.4,2592.9,2902.7,500.2,865.8,696.0,500.2,615.8,678.5,731.6,2587.4,1378.4,2587.4,1503.7,2990.7
2,2,6502.1,9514.6,8294.5,8015.0,8916.4,2058.2,3978.1,3094.3,2544.6,3156.7,1795.6,2586.7,3123.9,2905.7,2586.7,2658.5,2752.9,479.2,899.6,722.2,479.2,714.4,655.6,857.7,2615.4,1397.4,2615.4,1302.0,3448.6
3,3,5861.7,9313.4,8088.8,7743.9,8852.7,1851.0,3985.2,3088.1,2601.1,3140.8,1756.7,2640.7,3206.1,2911.8,2646.3,2580.1,2710.5,467.2,894.8,705.1,467.2,684.5,641.0,696.3,2280.4,1279.5,2280.4,1170.3,3485.3
4,4,6315.7,9364.4,8571.3,7743.7,9119.4,1742.1,4004.4,3014.6,2653.9,3156.1,1942.7,2586.3,3179.5,2930.4,2586.3,2483.1,2789.8,453.6,914.3,708.3,477.8,812.0,658.8,958.3,2766.4,1426.7,2766.4,1117.4,3499.1
5,5,5926.2,9296.4,7646.1,8283.2,8841.4,1716.0,3809.6,2911.4,2291.5,3182.2,2207.8,2557.4,3147.0,2928.8,2557.4,2650.1,2759.5,429.0,912.7,659.5,442.8,822.6,664.9,730.0,2266.2,1265.9,2266.2,1446.8,2982.2
6,6,6284.8,8918.4,8446.6,8858.8,8820.5,1725.3,3757.3,3038.8,2854.1,3184.1,2023.8,2569.1,3107.3,2934.9,2569.1,2589.7,2807.3,344.5,915.0,631.0,344.5,821.9,687.2,876.0,2594.9,1373.7,2594.9,2078.4,3104.7
7,7,6318.1,8962.5,8401.8,8247.3,8351.6,1773.9,3682.0,3027.1,2807.7,2870.1,1922.4,2583.2,3075.5,2902.7,2583.2,2525.9,2810.3,333.3,905.0,593.3,333.3,822.0,678.4,842.4,2600.2,1376.8,2600.2,1852.1,2689.7
8,8,6033.8,8798.0,8540.8,8033.8,8884.7,1766.5,3556.0,3011.0,2902.1,2694.5,2323.4,2590.7,3056.9,2862.8,2590.7,2453.0,2855.7,335.8,891.6,579.3,335.8,816.0,674.0,787.0,2627.3,1373.1,2627.3,1904.7,2755.6
9,9,5852.3,8840.1,8549.1,8708.6,9310.2,1716.0,3724.4,2963.7,2904.3,3104.1,2620.7,2618.8,2986.6,2809.9,2618.8,2277.4,2803.3,287.0,915.1,544.6,287.0,822.4,661.9,766.0,2652.9,1537.4,2652.9,2324.4,2955.4
