dates,values,Russia,Norway,Algeria,LNG,Azerbaijan,Nord Stream,Ukraine Gas Transit,"Yamal (BY,PL)",Turkstream
01/08/2022,1023.9,116.2,384.1,85.2,398.1,32.3,32.5,37.5,0,41.3
02/08/2022,1038.6,119.7,377.4,93,404.8,34.7,33.6,37.2,0,43.4
03/08/2022,1030.9,119.4,381.6,94.1,391.8,35,33.6,37.4,0,42.6
04/08/2022,1041.5,117,382.5,94.2,405.3,35.6,33.6,37.5,0,39.8
05/08/2022,1027.5,122.1,379.8,96.8,386.4,35.5,33.6,37.1,0,42.3
06/08/2022,1000.5,121.5,374.8,91.6,372.1,34.7,33.7,36.8,0,40.7
07/08/2022,990,119.8,373.8,92.4,362.4,35.7,33.6,37.1,0,39.2
08/08/2022,1013.2,117,375,94.5,380.4,35.7,33.6,36.9,0,36.1
09/08/2022,997.6,118.6,366.8,97.4,372,35.5,33.6,37.1,0,37
10/08/2022,985.1,115.2,365.1,97.6,365.1,35.2,33.6,37.9,0,36.5
11/08/2022,1036.6,126.4,373,98,399.6,34.9,33.8,42.3,0,43.1
12/08/2022,993.5,124.4,376.9,99.8,352.9,34.7,33.7,36.9,0,47.8
13/08/2022,947,123.5,363.2,83.4,343.8,28.8,34.1,36.6,0,47.4
14/08/2022,937.5,121.3,369.3,86.1,331.3,25.2,33.9,36.7,0,45.4
15/08/2022,939.6,121.1,367.2,79.5,342.5,25.2,34,36.7,0,45
16/08/2022,990.2,127.9,376.5,94.9,359.3,25.2,34,42,0,46.8
17/08/2022,988.7,120.2,381.4,88.6,365.8,25.2,33.7,37.7,0,43.6
18/08/2022,990.3,120.8,380.5,96.5,360.9,25.2,33.6,37.6,0,44.5
19/08/2022,1006.3,125.8,380.9,98.7,369.2,25.2,33.7,42.7,0,44.7
20/08/2022,985.3,121.8,382.4,86.6,364.1,25.7,33.7,37.6,0,45.7
21/08/2022,965.4,121.5,380.5,85,347.9,25.7,33.7,37.4,0,45.4
22/08/2022,975.9,121.6,372.5,98.4,350.1,25.7,33.7,37.7,0,45.6
23/08/2022,989.2,126.5,364.4,93.9,373.5,25.4,33.7,44.2,0,44.2
24/08/2022,991.7,118.8,371.1,100.7,370,25.7,33.7,38,0,44.3
25/08/2022,998.3,125.4,380.4,101,360.5,25.7,33.7,44.2,0,44.3
26/08/2022,966.7,119.1,376.8,101.8,337.7,25.8,33.7,37.9,0,43.7
27/08/2022,1004.2,121.7,361.8,85.7,399.4,29.2,33.7,38,0,46.1
28/08/2022,942,123.7,360.7,85.5,338.1,27.5,33.7,38,0,48.3
29/08/2022,949.6,120.5,333.4,97.7,360.9,30.7,33.8,38.4,0,44.7
30/08/2022,1023.6,115.8,357.1,101.5,411.2,30.5,28.2,38.8,0,45.2
31/08/2022,826.3,81.7,,105,335,30.2,0,38.4,0,39.5
01/09/2022,,52.6,,,,30.3,,52.6,0,
02/09/2022,,,,,,,,,,
