,week,Nord Stream_min,Nord Stream_max,Nord Stream_2020,Nord Stream_2021,Nord Stream_2022,Ukraine Gas Transit_min,Ukraine Gas Transit_max,Ukraine Gas Transit_2020,Ukraine Gas Transit_2021,Ukraine Gas Transit_2022,"Yamal (BY,PL)_min","Yamal (BY,PL)_max","Yamal (BY,PL)_2020","Yamal (BY,PL)_2021","Yamal (BY,PL)_2022",turkstream20,turkstream21,turkstream22
0,0,,,,,,,,,,,,,,,,,,
1,1,807.2,1197.5,1191.4,1192.0,1113.1,575.7,1752.0,575.7,783.1,284.5,666.9,774.1,666.9,769.1,58.2,116.8,164.4,196.8
2,2,584.4,1193.7,1193.6,1193.4,1106.3,535.3,1878.5,535.3,762.5,305.7,592.9,775.5,592.9,783.2,35.4,122.4,222.4,256.1
3,3,408.9,1217.2,1217.2,1193.4,1108.9,499.3,1898.4,499.3,741.4,260.8,670.2,777.5,670.2,802.7,35.4,116.1,235.6,274.2
4,4,345.9,1221.0,1221.0,1194.6,1121.4,573.1,1937.4,573.1,760.5,422.0,656.5,775.0,656.5,803.8,35.0,101.5,217.0,282.7
5,5,345.8,1193.7,1192.9,1198.8,1183.9,367.8,1895.4,367.8,807.9,518.8,538.5,773.8,538.5,795.0,155.5,90.7,205.6,286.0
6,6,347.2,1193.9,1193.9,1193.2,1176.8,567.4,1867.2,816.0,825.4,382.6,625.2,797.9,625.2,797.0,156.9,110.8,214.3,275.3
7,7,346.9,1194.1,1192.8,1192.4,1141.1,617.1,1822.7,777.0,621.1,291.4,627.0,798.5,627.0,695.0,159.6,104.0,238.9,277.3
8,8,345.8,1193.2,1193.2,1193.2,1177.2,616.6,1585.4,904.8,546.4,519.3,611.7,788.3,611.7,654.1,189.8,86.7,204.1,304.2
9,9,346.2,1193.0,1193.0,1193.0,1192.6,569.7,1586.0,920.2,794.5,697.0,603.7,807.8,603.7,759.7,331.5,77.9,236.4,307.2
10,10,515.9,1194.4,1194.4,1192.6,1193.1,724.9,1605.3,949.1,784.1,693.7,609.3,807.6,624.8,745.9,360.5,81.7,233.4,292.8
11,11,756.2,1194.9,1193.4,1192.6,1044.8,877.1,1607.0,961.7,842.5,646.6,609.7,808.5,609.7,770.4,192.1,106.5,249.8,287.0
12,12,764.6,1194.3,1193.4,1200.1,1114.6,827.1,1744.4,954.3,839.0,675.8,561.8,802.1,561.8,765.6,161.7,101.8,259.1,277.0
13,13,757.7,1192.0,1185.9,1200.6,1194.3,773.1,1708.4,948.4,821.4,707.4,532.2,801.7,532.2,769.0,211.6,111.7,212.9,257.2
14,14,812.7,1194.1,1193.9,1200.0,1193.3,944.2,1720.4,944.2,824.4,652.5,583.7,773.2,613.3,669.0,172.2,109.2,233.3,228.6
15,15,851.0,1193.2,1193.0,1189.8,1193.8,958.0,1947.2,958.0,837.1,463.4,547.5,772.2,599.0,719.2,135.5,96.6,229.6,229.2
16,16,850.0,1194.0,1194.0,1195.8,1191.7,884.4,1837.6,946.4,827.4,346.3,578.9,774.9,614.7,769.3,123.6,84.6,232.8,214.2
17,17,876.1,1193.2,1192.7,1193.6,1183.0,925.6,1850.9,925.6,828.0,445.8,578.7,772.6,578.7,770.0,31.2,81.4,212.9,181.9
18,18,888.5,1193.7,1193.3,1193.6,1193.7,893.2,1897.7,893.2,853.5,665.3,621.5,774.7,621.5,770.6,91.3,75.4,202.6,244.8
19,19,899.3,1193.3,1193.3,1193.2,1193.5,853.6,1853.2,853.6,849.8,502.8,687.6,775.2,687.6,769.6,10.9,83.9,225.9,229.1
20,20,882.7,1193.5,1192.9,1192.8,1193.6,813.1,1832.6,813.1,853.8,358.9,627.0,774.2,667.7,770.5,0.0,112.7,211.1,178.2
21,21,883.1,1193.9,1193.2,1192.6,1190.5,806.0,1745.3,806.0,854.3,300.2,501.8,775.1,501.8,770.2,0.0,108.6,245.2,158.3
22,22,880.2,1193.7,1193.7,1193.0,1140.4,810.9,1742.4,810.9,850.2,283.5,165.9,775.5,165.9,768.2,0.0,103.3,237.6,158.5
23,23,875.3,1192.9,1192.9,1189.2,1040.6,841.7,1692.5,841.7,839.9,284.9,339.3,775.1,676.5,700.9,0.0,84.4,230.6,162.0
24,24,874.2,1195.7,1195.7,1188.0,588.8,843.3,1745.7,843.3,831.3,280.6,488.2,776.2,655.2,767.1,0.0,119.6,260.5,194.9
25,25,874.7,1194.9,1194.9,1109.2,477.6,835.4,1760.8,835.4,833.4,279.6,606.6,767.8,625.2,768.3,0.0,116.7,70.1,34.4
