DATAFLOW,LAST UPDATE,freq,incsrc,indic_il,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,AT,1995,10301,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,AT,1996,9469,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,AT,1997,8560,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,AT,1998,8354,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,AT,1999,7795,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,AT,2000,9162,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,AT,2001,6936,u
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,BE,1995,15878,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,BE,1996,18116,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,BE,1997,21495,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,BE,1998,26941,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,BE,1999,26883,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,BE,2000,22360,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,BE,2001,30507,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,DE,1995,8936,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,DE,1996,17158,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,DE,1997,14107,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,DE,1998,12030,
ESTAT:ILC_DI06(1.0),27/03/09 11:00:00,A,PRIV,MED_E,EUR,DE,1999,10009,
